,full_text,location,number_rt,number_likes,number_reply
12, Cuadros con diseños innovadores desde $89.900 envios a todo Colombia! Wapp 3127552214 Visita nuestra tienda virtual #Estampados #LifePrintColombia #colombia #Bogota #bucaramanga #madres #CaliCol #medellín #lacasa #pereira #Santamarta #cartagena #medellin,"Medellín, Colombia",0,0,0
13," #Video 🎥 Sumamos kilómetros de entrenamiento, en familia, por vos Medellín y con los objetivos claros. Nuestra @BerriaBike a tono con el uniforme @SAFETTISW: blanca y azul 🚴💪🏻 Grandes aliados, las mejores marcas 👏🏻🔝 #MedellínRuedaConVos","Medellín, Colombia",10,62,1
14, Rodeado por Mar ... Naufragando por su amor ... Navegando en felicidad !!! 👶🏻❤️👱🏼‍♀️ en Poblado Medellin,"Medellín, Colombia",0,0,0
15, @Germancanoofi ...cano mil gracias ..!!! Vamos con toda. Tenés q ser campeón con tu rojo del alma.!!! Vamos goliador...!!!!! Vamos Medellín...!!!!!!,"Medellín, Colombia",0,0,0
16, @bonguero042877 @ElPoderoso_DIM @DarioAlza Es un goleador y solo juega en el Medellín,"Medellín, Colombia",0,0,0
17, Peligroso capo del ‘Clan del Golfo’ y alcalde de Medellín vivían en el mismo edificio,"Medellín, Colombia",0,0,0
18, Te pasas Medellín 😍,"Medellín, Colombia",0,2,0
19, Me ha gustado un vídeo de @YouTube (https://t.co/KqGqQCpa4k - Mi primer alumno Julian Herrera crea Confite Coffee Medellin Colombia).,"Medellín, Colombia",0,0,0
20," @AlcaldiadeMed Así se hace Secretaria de Salud de Medellín, equipo de i.v.c son los mejores del país. Felicitaciones","Medellín, Colombia",0,1,0
21, @sebastianbelal1 @Veintiochuda En Medellín les dicen murrapos,"Medellín, Colombia",0,1,0
22," #Recomendado ¿Qué tal si nos encontramos a conversar? La idea es hacerlo, durante tres días que el @hayfestival_esp estará en Medellín. Vamos a conversar sobre literatura, pero también sobre cultura, educación y desarrollo. Y todos los detalles están en","Medellín, Colombia",1,2,0
23, Medellín ganó y perdió frente a Once Caldas en doble partido de pretemporada Manizales,"Medellín, Colombia",0,0,0
24, Hasta hoy ningún equipo colombiano había ganado un juego en Liga de las Américas de Baloncesto. Perdieron todos sus juegos: Bambuqueros de Neiva Patriotas de Tunja Águilas de Tunja Academia de la Montaña Medellín HISTÓRICO el triunfo hoy de @titanes_baq en #LDA2019. @Ligamericas,"Medellín, Colombia",0,4,0
25, Tendrá que mejorar mucho el Once Caldas después de disputar dos partidos amistosos con el Medellín en Manizales esta mañana. Perdió 4 goles por 1 con los titulares y ganó 2-1 con los suplentes.,"Medellín, Colombia",0,0,0
26," @Elpeluca_xd QUE TAL PELUCA SOY SUBSCRIPTOR Y ME GUSTARIA QUE ME AYUDARAS, ACABE DE SUBIR MI SEGUNDO VIDEO, SOY DE MEDELLIN COLOMBIA ENSERIO SERIA MUY BACANO DE TU PARTE","Medellín, Colombia",0,0,0
27, Retratos de migrantes venezolanos llenan la Plaza Botero de Medellín #Videos 📹,"Medellín, Colombia",1,0,0
28, Ya me fui de Medellín pero se que prontito estoy de vuelta otra vez,"Medellín, Colombia",0,0,0
29, @JHopeColombia @BTS_Colombia @ARMYbogotaCol @BTS_cartagena @Armybucaramanga @ArmyCali @Army_Medellin @btsarmypereira @BTS_santaMarta @btsarmyarmenia @ARMYManizalsCol No se ustedes pero yo quiero hacer las dos :v @Riveraa811,"Medellín, Colombia",0,1,1
30, @TheIsabellaR el peor mierdero de medellin,"Medellín, Colombia",0,1,1
31, Principio de acuerdo entre Independiente Medellín y Germán Cano.,"Medellín, Colombia",0,1,0
32, ¿Que tattoo studio recomiendan en Medellín?,"Medellín, Colombia",0,0,0
33," Vía CALZADA MEDELLÍN - BOGOTÁ municipio de El Santuario a la altura de Restaurante la Mayoría , no presenta ninguna novedad. km 002+000","Medellín, Colombia",0,0,0
34," #ODONTÓLOGOS GENERALES #DIPLOMADOS #ORTODONCIA FIJA PREPROGRAMADA Y ORTODONCIA #INVISIBLE SIN BRACKETS en BOGOTA,MEDELLIN,CALI Y BARRANQUILLA.Inf.WhatsApp +57 3003118156 Aprobación Oficial…","Medellín, Colombia",0,0,0
35, De los lugares más tradicionales de la ciudad de Medellín: Plazoleta de la Iglesia La Veracruz. #centrodemedellin #medellin #laveracruz en Centro De Medellin,"Medellín, Colombia",0,0,0
36, Por Dios que no entiendo ... ES QUE NO ENTIENDO... como el del uber tiene el calentador puesto en Medellín.... 🥵🥵🥵,"Medellín, Colombia",0,1,0
37," #Promociones Lleva el set Alicia en conjunto por $25.000 😄 Disponibles en color azul navy, verde militar y blanco. 🛵✈ Domicilios en Medellín y enviós a todo el país 📲3193810283","Medellín, Colombia",0,0,0
38," @HUGOLEONROJITO El Tesoro, Medellín. ❤️","Medellín, Colombia",0,1,0
39," Via CALZADA MEDELLÍN - BOGOTÁ municipio de El Santuario a la altura de Cornare , no presenta ninguna novedad. km 50+000 (18:44)","Medellín, Colombia",0,0,0
40, Buscamos dama para trio MHM!! en Medellín o área metropolitana!,"Medellín, Colombia",0,0,0
41," En @TeatroElTrueque iniciaremos el 2019 con ""Pasajero a Betania"" una obra basada en relatos de Gonzalo Arango, precursor del ""Nadaísmo"". 📜🎭📖📚 . ¡Los esperamos! Temporada del 31 de enero al 2 de marzo. Informes y reservas: 217 26 05 . #Nadaísmo #TeatroElTrueque #Medellín","Medellín, Colombia",0,1,0
42," @ASES_ATC @PGN_COL @InviasOficial @DapardAntioquia No arregla @InviasOficial la autopista sur de Medellín, menos la vía a la costa.","Medellín, Colombia",0,0,0
43, Medellín es una ciudad donde “cola” significa pene.,"Medellín, Colombia",1,0,0
44, Cano se queda en el DIM,"Medellín, Colombia",0,0,0
45," CNC Medellin, el canal de nuestra gente: vía @YouTube","Medellín, Colombia",0,0,0
46, A esta hora en #Medellín... #luna Fotografía de @mirandando #antioquia #antioquiantripper #moon,"Medellín, Colombia",1,3,0
47, 🌹🌹 Arreglo floral de rosas $160.000 para entrega en la ciudad de Medellín.🚐🚐 . Empieza este nuevo año regalando flores!! . . . Puedes obtener más información comunicándote al 📲 Whap 300…,"Medellín, Colombia",0,0,0
48," Capturado en República Dominicana alias “Machete” sucesor de “Pesebre” en la GDO Robledo. Gracias a las autoridades dominicanas, a @PoliciaColombia DIPOL DIRAN GAULA y @FiscaliaCol Medellín y Crimen Organizado. No importa dónde se escondan, todos caerán.","Medellín, Colombia",169,483,23
49," Luna sobre #Medellín, hoy.","Medellín, Colombia",28,92,1
50, @alejaandres2016 E. Bogota no conozco pero en Medellín si varios,"Medellín, Colombia",0,0,0
51, ONU premia a Medellín por ejemplar atención médica a migrantes venezolanos vía @NoticiasCaracol,"Medellín, Colombia",0,0,0
52," @flareaudio Muy complicado para Uds. dar información en Español?? Necesito los tapones, en Medellín los puedo conseguir?? Gracias","Medellín, Colombia",0,0,1
53," El Barrio Prado es uno de los más tradicionales de #Medellín, allí se encuentra la casa del alcalde, que desde varias administraciones no ha sido habitada. En #SomosMedellín proponemos revivir ese espacio y al sector llevando #OportunidadesConSeguridad. @luisbernardov","Medellín, Colombia",1,1,0
54, Cuándo quieran #tattoo #Medellín,"Medellín, Colombia",0,1,0
55," @flareaudio @migdalu18 Necesito un par, que debo hacer para conseguirlos?? Vivo en Medellín","Medellín, Colombia",0,0,0
56," SABADO 19 🇨🇴 #Medellín 🌧 Noche: 14ºC, lluvia ligera.","Medellín, Colombia",0,0,0
57, Medellín y Once Caldas midieron fuerzas en dos partidos amistosos Así fueron los juegos amistosos disputados en el Palogrande:,"Medellín, Colombia",1,5,0
58, Últimamente han habido unos atardeceres divinos en Medellín. Me encanta.,"Medellín, Colombia",0,5,0
59," Acaba de publicar un video en Medellín, Antioquia","Medellín, Colombia",0,0,0
60, Reponiendo maraton¡¡¡Me reporto desde Medellin @JBALVINMEDFC a maratón @PresiNyNjFamili @vale_lafamilia 🌚,"Medellín, Colombia",2,2,0
61," @alvarado_juli @metrodemedellin Obvio Medellín tiene un encanto en todo, por eso somos la ciudad de la eterna primavera 🌹💐💐#MiMetroMeMueve @metrodemedellin","Medellín, Colombia",0,2,0
62, El atardecer de mi Medellin del alma @siatamedellin,"Medellín, Colombia",0,0,0
63," @carmuzo @Juanchann La pregunta es para mí? De ser así considero que sí, ganó el de Medellín, pues lleva varios años poniendo presidente, lo que a su vez contestaría la siguiente también.","Medellín, Colombia",0,2,0
64," @QuinteroCalle Mañana no Marcharemos por el Uribismo, Marcharemos por la Paz, por la Vida y por los Líderes Sociales. Yo mañana marchó en Medellín donde los que apoyamos la Paz somos minoría, pero no nos dejaremos intimidar, Marcharemos con la misma alegría ver siempre.","Medellín, Colombia",0,5,0
65, medellin-colombia: Auxilio,"Medellín, Colombia",0,0,0
66," ¡En Vivo! Desde el Vacacional de futbol de La Estrella. No te pierdas un instante de nuestra transmisión. Conéctate ahora a través de FB: CNC Medellín, o a través de la App UNE TV.","Medellín, Colombia",0,0,0
67, Que hermosa Luna en la ciudad de Medellín 😍,"Medellín, Colombia",0,0,0
68, @guapeca0910 @NoticiasWin @WinSportsTV @DIM_Oficial Qué pesar ser tan ignorantes la MLS lo quería en katar también incluso Brasil que pasó que está apunto de hacer historia en Medellín y y como en el dim la que manda es la hinchada pues le subieron el salario porque cano no se quería ir solo quería más dinero pero quedaron mamando,"Medellín, Colombia",0,1,1
69, @humopoderosoDIM YA MEDELLÍN COMPROMETIÓ TODO SU DIBERO EN CANO YA NO HAY MÁS,"Medellín, Colombia",0,0,1
70," Hace unos 6-7 años, unas amigas y yo nos desvivíamos por un toque de @CHURO_DIAZ en Medellín y pagábamos 50k por persona pa un palco, hoy miren donde está, no tiene canción mala, te acuerdas? @MpaulaB17","Medellín, Colombia",0,0,1
71," Felicidades a los niños de Área Chica subcampeones del Baby Fútbol, tras una gran final que se jugó hoy en Medellín. Los chicos de nuestra #TierraEnsueño lo dieron todo, empataron 1-1 en el tiempo reglamentario y cayeron en los penales ante Los Alcázares. #TalentoMonteriano ⚽🔝","Medellín, Colombia",9,38,0
72," Medellín ahora debe enfocarse en un defensa central, si Urrego no quiere venir que no insistan, ya en el FPC es dificil que nos suelten uno a menos de una semana de iniciar el torneo, ya toca buscar por fuera","Medellín, Colombia",4,55,11
73," Via CALZADA MEDELLÍN - BOGOTÁ municipio de Marinilla a la altura de Retorno Industriales , no presenta ninguna novedad. km 38+000 (18:18)","Medellín, Colombia",0,0,0
74, @Hernan44964003 @NoticiasWin @WinSportsTV @DIM_Oficial Junior y un tal anal le ofrecian el triple de lo que va a ganar en Medellín solo que el en la mierda no quiere estar,"Medellín, Colombia",0,1,0
75, @MartilloS3 @Juanchann Ganó Medellín? Fue empate? Cuál es y ha sido mucho más pernicioso?,"Medellín, Colombia",0,0,1
76," Felicidades a los niños de Área Chica subcampeones del Baby Fútbol, tras una gran final que se jugó hoy en Medellín. Los chicos de nuestra #TierraEnsueño lo dieron todo, empataron 1-1 en el tiempo reglamentario y cayeron en los penales ante Los Alcázares. #TalentoMonteriano ⚽🔝","Medellín, Colombia",29,84,2
77," Yo: En Medellín me voy a portar bien. Yo, cuando llegue a Medellín:","Medellín, Colombia",1,18,0
78, Instalación #Kleenoil en Camión en Medellín #Colombia #Ahorro #Aceite #SalvemosAlPlaneta Reduce sus costos y prolonga la vida útil de los motores &gt;,"Medellín, Colombia",0,0,0
79, Instalación #Kleenoil en Camión en Medellín #Colombia #Ahorro #Aceite #SalvemosAlPlaneta Reduce sus costos y prolonga la vida útil de los motores &gt;,"Medellín, Colombia",0,0,0
80, @JORGEJUNIOR10 @juanguiacosta @NoticiasWin @WinSportsTV @DIM_Oficial Además la que ganaron fue de susto porque el mejor equipo del año fue Medellín más puntos más goles líder de la reclasificación menos goles en contra goleador del torneo en fin,"Medellín, Colombia",0,1,1
81," Calzada Medellín - Bogotá, municipio de Marinilla, a la altura de El Cordobés Km 41+800, presenta paso restringido por trabajos en la vía. Transite con precaución.","Medellín, Colombia",0,0,0
82, Por qué el detenerse te esclavizas y no te permite llegar a tu felicidad total que es la libertad #FelizSabado #FinDeSemana #mordedios #god #blessed #jesus #cali #Medellin #Barranquilla #bogota #manizales #londres #love #muriendopravivir,"Medellín, Colombia",1,0,0
83, Retratos de migrantes venezolanos llenan la Plaza Botero de Medellín #Videos 📹,"Medellín, Colombia",2,0,0
84, Nos vamos a Medellín vi esta promoción en la mañana y ya esta reservada 👨‍👩‍👧,"Medellín, Colombia",0,0,0
85," Cuando te gusta el helado en Medellín, Antionquia","Medellín, Colombia",0,0,0
86, La luna en Medellín se ve brutal.,"Medellín, Colombia",0,1,0
87, Medellín ya tiene unidad forense para investigar delitos de maltrato animal vía @elcolombiano,"Medellín, Colombia",0,0,0
88, .@DIM_Oficial ganó y perdió frente a @oncecaldas en doble partido de pretemporada,"Medellín, Colombia",0,4,0
89," #ODONTÓLOGOS GENERALES #DIPLOMADOS #ORTODONCIA FIJA PREPROGRAMADA Y ORTODONCIA #INVISIBLE SIN BRACKETS en BOGOTA,MEDELLIN,CALI Y BARRANQUILLA.Inf.WhatsApp +57 3003118156 Aprobación Oficial…","Medellín, Colombia",0,0,0
90," A mitad de año viajo a Medellín con la mejor amiga del mundo y estoy que compro los tiquetes, ya hasta estoy pensando en que haremos, donde cuando y todo😍💖","Medellín, Colombia",0,2,0
91," En Medellín Cancha Marte Uno. Alcázares Estudiantil venció 4-2 desde el punto penal a Montería y se coronó campeón de la versión 35 del Baby Fútbol masculino Colanta. El juego en el tiempo reglamentario 60 minutos y suplementario 20 minutos, terminó 1-1. Organiza @CDLosPaisitas","Medellín, Colombia",0,0,0
92," Hoy, grabando guitarras para una bonita producción de mi gran amigo @HADERGUERRAZEA El productor es, nada más y nada menos que @Sergioa78673293 en Medellín, Antioquia","Medellín, Colombia",0,0,0
93," @carmuzo @Juanchann El tuit hace referencia a la representación de los carteles en la política, de modo que lo considero acertado. Samper - Cali Uribe - Medellín","Medellín, Colombia",0,1,1
94," Estamos inundados de zancudos, respiramos zancudos, tragamos zancudos en Veracruz, Boca del Río y Medellín...Desde hace mil años no pasan las camionetas fumigadoras, estamos invadidos de mosquitos @CuitlahuacGJ @AyuntamientoVer @_BocadelRio @medellindebravo @SSALUDVeracruz","Medellín, Colombia",0,0,0
95," ""Eso mejor lo compramos por @mercadolibre, mira que el vendedor es de aquí mismo (Medellín) y fijo nos llega mañana, además el envío es gratis (por @ServientregaCS)"" Yo ,el miércoles pasado (16 de enero)...Hoy, 3 días después....","Medellín, Colombia",0,0,1
96, Llego a las 8 am a Medellín y a las 10 am tengo una Pool party en el mejor hotel 😎😎,"Medellín, Colombia",0,0,0
97, @Devimed CIERRE DE VÍA. 17 FEBRERO DOMINGO de 5am- 2pm. El Retiro - Don Diego – Rionegro Autopista Medellín-Bogotá desde el K 38+000 al K 0+000 Mayores informes: 3164472270,"Medellín, Colombia",1,1,0
98," Medellin, mi hermosa ciudad!","Medellín, Colombia",0,1,0
99, Energía dale play #EDM #Electro #House #Moombahton #Morocco #USA #Maharashtra #TamilNadu #ElCairo #Egipto #Argentina #elcairo #Chile #Uruguay #Brasil #Colombia #Medellin #日本 #Tánger #Uchda #Safí #Reggaeton,"Medellín, Colombia",0,0,0
100, @diarioas Jmmm en Nacional de Medellín .,"Medellín, Colombia",1,0,0
101, @diarioas Jmmm en Nacional de Medellín,"Medellín, Colombia",1,0,1
102, Liga Aguila | @DIM_Oficial llegó a un principio de acuerdo para la continuidad de Germán Cano,"Medellín, Colombia",0,10,1
103, ATENCIÓN MEDELLÍN. Convocatoria a rodar por nuestros héroes de la Policía Nacional de Colombia asesinados en el atentado perpetrado en la ciudad de Bogotá. Fecha: Domingo 20 de enero de 2019. Punto de...,"Medellín, Colombia",0,0,0
104," Maldita la hora en que Satena y Viva Colombia quitaron la ruta Cali-Medellín, Medellín-Cali. Justo en la pobreza :(","Medellín, Colombia",0,0,1
105," Sigue escuchando en todas las plataformas digitales #Villano de ginomellaa ❌ @yosoyfalsetto | #Chile #MusicaUrbana #PuertoRico en Medellín, Antioquia","Medellín, Colombia",0,0,0
106, jajajaja bueno les informó que en la licoreria las nieves estan vendiendo la pipona de Medellín en 12mil jajaja esas mismas las encontraran a la venta hoy jaja en diferentes puntos de la ciudad,"Medellín, Colombia",0,0,0
107," Lleva en tu interior el optimismo del color Living coral, color del año 2019.🤗🤗🤗 Click en bio para más información. - - - #siemprefemme #medellín #panty #tiendaenlinea#seda #lenceria…","Medellín, Colombia",0,0,0
108, Medellín: Más de 30 años de prisión a hombre que mató y enterró a su novia,"Medellín, Colombia",0,0,0
109, Luna desde El Salvador #Medellín Foto de Lucía Mejía M,"Medellín, Colombia",0,0,0
110, Ni en Italia se ve tanto Gucci y louis vuitton como en medellin jajaj🤣😅mañes ordinarios deberían cobrarles una multa jaajajajjaj,"Medellín, Colombia",0,0,0
111," @ferchoaa21 Hola Fer, informaremos a nuestra área de Control para que revise. Sin embargo, por ser una situación repetitiva, te sugerimos formalizar tu reporte por medio de nuestra página web: o en la línea de atención a la ciudadanía: 4444144. ¡Feliz tarde!","Medellín, Colombia",0,1,1
112, Paga la renovación de tu Matricula Mercantil de la Cámara de Comercio de Medellín en cualquier Sitio de Venta Gana . Es muy fácil y rápido. #GanaCercadeTi,"Medellín, Colombia",0,0,0
113, Que pecao los de junior ya se creen los súper campeones les recuerdo que ustedes pierden mas finales que el Medellín,"Medellín, Colombia",1,0,1
114, Andar en bici por Medellín es una completa odisea.,"Medellín, Colombia",0,0,0
115," @PlanetarioMed Conocen otros lugares de Medellín en que se pueda observar, teniendo en cuenta que la boletería ya está agotada?","Medellín, Colombia",1,0,1
116," I Cumbre Latinoamericana de Directivos y Expertos de Comuniación - Medellín, Mayo 2019 - #dircom @dircomla @jjlarrea @PabloMuneraU","Medellín, Colombia",0,2,0
117, Venezolanos en Colombia nos vemos en Medellín el 23 de enero en Parque de las Luces a las 04:30 PM #23E #23ene #Venezuela #GuaidoEsPresidente #CabildosAbiertos ¡te esperamos!,"Medellín, Colombia",1,1,0
118, ¡Medellín vs Junior! Los 'tiburones' se quedaron con la estrella de fin de año de la Liga 2018-II. (Repetición),"Medellín, Colombia",1,4,0
119, Vuelo #9V1435 procedente de Medellín aterrizó en Porlamar a las 5:56 p.m. con una duración de vuelo de 1 hora y 46 minutos,"Medellín, Colombia",0,0,0
120, ¡Impresionante! La cantidad de personas es abrumante ¿te gustaría conocer este transporte? #medellin #conociendovenezuela #asistentedeviajes #destino #foto #conocimiento #cultura #colombia #colombiatravel #colombiaturismo #actitudviajera #baluartesantodomingo,"Medellín, Colombia",0,0,0
121, Todo el tiempo estamos trabajando para mejorar la experiencia de los usuarios del Transporte Público en Medellín. Seguiremos apostándole a la #MovilidadSostenible.🍃 #TPMEvoluciona 🚌,"Medellín, Colombia",1,3,0
122, Recompensas por integrantes de bandas que se enfrentan en comuna 8 de Medellín,"Medellín, Colombia",2,3,2
123," Lo cogieron con una libra de marihuana en su poder en el barrio Caribe, nororiente de Medellín |","Medellín, Colombia",0,0,0
124," Lo cogieron con una libra de marihuana en su poder en el barrio Caribe, nororiente de Medellín |","Medellín, Colombia",0,0,0
125, @rix @FCaballeros18 Y si mis amados #Caballeros vienen a Medellín y salimos a rumbear? 😁🤞🏼😍,"Medellín, Colombia",0,0,0
126," Salieron corriendo y dejaron abandonado un revólver de casi dos millones de pesos en el barrio Pablo Escobar, en Medellín |","Medellín, Colombia",0,0,0
127," @DIM_Oficial @ElPoderoso_DIM @Dimayor @oz_football los hinchas del Medellín queremos a albornoz ojalá ese señor del tolima lo deje, seria un buen refuerzo🙏💪❤️💙","Medellín, Colombia",0,0,0
128, Apillado de wachin como Pablo en Medellín,"Medellín, Colombia",1,0,1
129, Este domingo #Medellin marcharemos en contra del terrorismo y a favor de la vida : 9 de la mañana Parque de los deseos #noalterrorismo,"Medellín, Colombia",0,0,0
130," Cascabelera @ Medellín, Antioquia","Medellín, Colombia",0,0,0
131, @VickyDavilaH @ClaudiaLopez @sergio_fajardo Sin politica.pero fajardo debia marchar en ciudad no bogota.pero como van por la alcaldia.y es sin politica.payasos,"Medellín, Colombia",0,1,1
132, El río rosa de Urabá - Medellín Turístico,"Medellín, Colombia",0,0,0
133," Aún no cae la noche, Y la luna asume el rol, De una novia celosa... Mirando a dónde va el Sol. #Atardecer #Medellín","Medellín, Colombia",0,4,0
134," Felicitaciones al equipo de área chica, dirigido por Alexis Ríos, subcampeones del 9.º festival de festivales en Medellín, dejaron a nuestro departamento en lo alto, me siento muy orgulloso de ustedes que Dios los bendiga.@MANCORTI @chello16 @JTorresOviedo","Medellín, Colombia",2,4,0
135," @IamCabezoon No mijo, te equivocas yo no estoy diciendo que Medellin como institución es jaguares, te estoy diciendo que ese equipo era cano dependiente que si fuese por cano no hubiese llegado a las finales , 80% cano 20% el resto del equipo.","Medellín, Colombia",0,0,0
136, Sábado de Amigos - 🙏🏻 visítanos para probar auténticos platos de la India y Tandoor - choose from wide range of dishes - Authentic Indian food in medellin #zaaikaindianrestaurant…,"Medellín, Colombia",0,0,0
137," A hoy Medellín busca central , no existen conversaciones no por más jugadores en otras posiciones","Medellín, Colombia",1,12,4
138," ...🎵Para que se vea desde alta mar De poco le sirve al navegante Que no sepa esperar🎶... Ph @pipekno1 à Medellín, Antioquia","Medellín, Colombia",0,1,0
139," @SuavesLomitos Medellín, Colombia! KIM, perrita rescatada...","Medellín, Colombia",1,1,0
140, Cano cerca de volver a Medellín... Será que el man no tiene las dichosas ofertas del exterior y solo armó el escándalo para ver si le pagaban lo que pedía?,"Medellín, Colombia",0,0,0
141, @CasaBlancaOC @oncecaldas Le ganamos con el equipo b a la sub 20 de medellín,"Medellín, Colombia",0,0,0
142, @RamonZuluag @futbolsinlimi En cuestiones de títulos frente al medellin vamos 3 a 1 jajaja,"Medellín, Colombia",0,2,0
143, @ElPoderoso_DIM Si es verdad también lo que se dice de Jonathan Gómez que Medellín siga preguntando por esos dos,"Medellín, Colombia",0,0,0
144," Movilización ciudadana en contra del terrorismo en Medellín Aquí no importa si usted tiene ideología de izquierda, derecha o centro, aquí lo realmente importante es que todos somos Colombianos y nos debemos de unir por las nobles causas. Leer nota...","Medellín, Colombia",1,3,0
145," @LuisMiguelC06 @fabilan94 Le ví una faena extraordinaria a su primer toro en la Macarena de Medellín el año pasado, lástima el acero. @feriamedellin Torero con mucho futuro. Tiene un arte serio y profundo. Vamos con más tentadero. @LasVentas","Medellín, Colombia",0,2,0
146, SEMINARIO DE KRAV MAGA KMG COLOMBIA PROTECCION CONTRA AMENAZAS CON ARMA DE FUEGO MEDELLÍN - COLOMBIA FEBRERO ESPERA INFORMACIÓN PRONTO #KravMagaColombiaOficial #kravmagainstructor…,"Medellín, Colombia",0,0,0
147, @futbol_paisa @DIM_Oficial Si llega Jonathan Gómez cada que juegue Medellín serán 40 mil en el estadio y será el candidato 1A para ser campeón no habrían excusas para acompañar al equipo,"Medellín, Colombia",0,11,0
148, @QuinteroCalle Sumele que el Alcalde de Medellín anda ordenando que los contratistas que vayan a la marcha el domingo.,"Medellín, Colombia",0,0,0
149, Medellín quiere a yesus Cabrera? A mi ese jugador la verdad no me descresta,"Medellín, Colombia",2,16,11
150," @claudia26san @MovNaranja3 @Hail_Gu @Pelicolombianas @JUANCAELBROKY @matadoreltiempo @ContraGodarria @ktikariza @elsemblante @InTweetiva @EpicuroDeSamos2 Estará en la marcha de Medellín, eso es seguro.","Medellín, Colombia",0,0,1
151," Jamás Pasamos De Moda💕 en Medellín, Antioquia","Medellín, Colombia",0,1,0
152," CONSTRUIR CIUDADANÍA ANTES QUE CIUDAD Durango, Dgo- Taller sobre URBANISMO en el municipio de la capital, a partir de la experiencia en Medellín, Colombia, a cargo del Urbanista Arq. Carlos Pinto;","Medellín, Colombia",2,3,1
153, Quiero viajar a Medellín con mi novia ya!,"Medellín, Colombia",0,0,0
154," Propietarios del edificio #Babilonia en #Itagüí protestaron hoy, y exigen solución a su situación de desalojo en junio de 2018, por fallas estructurales en la edificación. En primera instancia la...","Medellín, Colombia",0,0,0
155," Nada pasa por casualidad, así que hay que agradecer que el destino nos unió en este viaje maravilloso... las espero en Medellín! kemilymc #Natalia #claudia #joha #Gratitud #obrigado…","Medellín, Colombia",0,0,0
156, ¿Qué tal si #Medellín nos regala una hermosa luna cuando el sol aún brilla a plenitud?,"Medellín, Colombia",0,2,0
157, Lo capturaron por robarle 20.000 pesos a una mujer en el centro de Medellín |,"Medellín, Colombia",0,0,0
158, Lo capturaron por robarle 20.000 pesos a una mujer en el centro de Medellín |,"Medellín, Colombia",0,0,0
159, #Política || Juan Carlos Vélez nuevo exuribista buscará por firmas alcaldía de Medellín ---&gt;,"Medellín, Colombia",1,3,3
160," @mickeytaveras 🤩 Y Que Me Pasa 😏 #Salsa 💕 #Clasicos 🔥 en Medellín, Antioquia","Medellín, Colombia",0,0,0
161, @_ajaytuque @danielduquev @QuinteroCalle También es totalmente cierto. Marchar acá en Medellín mañana es un absurdo. Al menos en otras partes hay mucha fuerza alternativa que se podría sentir como diferenciadora y no tan politizada,"Medellín, Colombia",0,0,0
162," #MiSecretoFamiliarEs que el último almuerzo de Carlos Gardel fue preparado por mi bisabuela. Antes de abordar su vuelo a Medellín, Gardel almorzó en un restaurante del centro de Bogotá, muy reconocido en ese entonces, donde ella era la chef.","Medellín, Colombia",0,2,0
163, @camilor67413355 @Elcasiillas25 @josecamilo45 @medellin_actv Riiiiiiicoooooo,"Medellín, Colombia",0,1,0
164," Con nuestras patrullas de #MiPolicíaDelCuadrante y la información de la comunidad, seguimos atacando contundentemente el microtráfico en el occidente y oriente de #Medellín. Denuncie esta práctica ilegal al 123. #MásCercaDelCiudadano","Medellín, Colombia",4,21,0
